term,frequency,associated_entries,entry_types
Contracture,1,Volkmann’s contracture,Disease/Condition
Convulsions,1,Heat disorders,Disease/Disorder
Coping,1,Stockholm syndrome,Disease/Disorder
Coprolalia,1,Tourette syndrome,Disease/Disorder
Copropraxia,1,Tourette syndrome,Disease/Disorder
Cor pulmonale,1,Emphysema,Disease/Condition
Corneal abrasion,1,Maxillofacial trauma,Disease/Condition
Coronary arteries,1,Atherectomy,Surgical Procedure
Coronary bypass surgery,1,Thallium heart scan,Diagnostic Test
Coronavirus,1,Common cold,Disease/Condition
Coroner,1,Forensic medicine,Disease/Condition
Cortex,1,Brain biopsy,Diagnostic Test
Cortical,1,Sensory integration disorder,Disease/Disorder
Corticosteriod,1,Dermatitis,Disease/Condition
Corticosteroid drug,1,Croup,Disease/Condition
Cortisol,1,Adrenal gland cancer,Cancer/Oncological
Counseling for Cystic Fibrosis and CFTR,1,Genetic counseling,Disease/Disorder
Craniopharyngeal achalasia,1,Esophageal function tests,Diagnostic Test
Craniosynostosis,1,Neurosurgery,Surgical Procedure
Craniotome,1,Craniotomy,Surgical Procedure
Craniotomy,1,Neurosurgery,Surgical Procedure
Cream,1,"Antifungal drugs, topical",Drug/Medication
Crepitus,1,Prevention,Disease/Disorder
Cretinism,1,Thyroid function tests,Diagnostic Test
Cricothyroidotomy,1,Tracheotomy,Surgical Procedure
Criminalistics,1,Forensic medicine,Disease/Condition
Crossmatch,1,Heart transplantation,Disease/Condition
Cryogen,1,serum.,Disease/Condition
Cryotherapy,1,Naturopathic medicine,Disease/Condition
Cryptosporidium,1,Janis O. Flores,Disease/Condition
Curet,1,Skin lesion removal,Disease/Condition
Cut,1,Wounds,Disease/Condition
Cystectomy,1,Bladder cancer,Cancer/Oncological
Cystic artery,1,Karl Finley,Disease/Condition
Cystic fibrosis,1,Sweat test,Diagnostic Test
Cysticercosis,1,Tapeworm diseases,Disease/Disorder
Cystitis,1,Pyelonephritis,Disease/Condition
Cystotomy,1,Prostatectomy,Surgical Procedure
Cytoplasm,1,Whiplash,Disease/Condition
DNA analytics,1,Microbiome,Disease/Condition
DNA probe,1,Legionnaires’ disease,Disease/Disorder
DOPA,1,Albinism,Disease/Condition
DRE,1,Rectal examination,Disease/Disorder
Dacron,1,2011).,Disease/Condition
Dacryocystography,1,Dacryocystitis,Disease/Condition
Dacryocystorhinostomy,1,Dacryocystitis,Disease/Condition
Dacryostenosis,1,Dacryocystitis,Disease/Condition
Debulking,1,Tumor removal,Cancer/Oncological
Deceleration,1,Antenatal testing,Diagnostic Test
Decibel,1,Hearing loss,Disease/Condition
Deciduous teeth,1,Teething,Disease/Condition
Decompression,1,Recompression treatment,Disease/Condition
Decompression sickness,1,Recompression treatment,Disease/Condition
Decongestant,1,Nasal polyps,Disease/Condition
Decortication,1,Empyema,Disease/Condition
Decreased penetrance,1,Tourette syndrome,Disease/Disorder
Decubitus ulcers,1,Immobilization,Disease/Condition
Defecate,1,Bowel training,Disease/Condition
Defervescence,1,Paratyphoid fever,Disease/Condition
Defibrillation,1,defibrillator,Disease/Condition
Defibrillator,1,Stress test,Diagnostic Test
Degas,1,Multiple chemical sensitivity,Disease/Condition
Degeneration,1,Amyotrophic lateral sclerosis,Disease/Condition
Dehiscence,1,Wound care,Disease/Condition
Deletion,1,DiGeorge syndrome,Disease/Disorder
"Demographics

Herniorraphy",1,Umbilical hernia repair,Disease/Condition
"Demographics
A close",1,"Skin cancer, non-melanoma",Cancer/Oncological
Demyelinating disorders,1,Transverse myelitis,Disease/Condition
Dendrites,1,Tourette syndrome,Disease/Disorder
Dendritic cells,1,Ebola,Disease/Condition
Dengue,1,Chikungunya,Disease/Condition
Denshaw,1,Gallbladder cancer,Cancer/Oncological
Dependence,1,dependence,Disease/Condition
Depersonalization,1,Dissociative disorders,Disease/Disorder
Depression,1,Cocaine and related disorders,Disease/Disorder
Derealization,1,Dissociative disorders,Disease/Disorder
Dermabrasion,1,"Procedures. 2nd ed. New York: Thieme, 2009.",Disease/Condition
Dermatologist,1,Keratosis pilaris,Disease/Condition
Dermatology,1,Moles,Disease/Condition
Dermatophyte,1,KOH test,Diagnostic Test
Dervish,1,Meditation,Disease/Condition
Desensitization,1,Neuralgia,Disease/Condition
Desiccation,1,Neurosurgery,Surgical Procedure
Designer drugs,1,(Spice),Disease/Condition
Detoxification,1,Withdrawal syndromes,Disease/Disorder
Developmental,1,Stuttering,Disease/Condition
DiGeorge anomaly,1,Lymphocytopenia,Disease/Disorder
Diabetic ketoacidosis,1,Metabolic acidosis,Disease/Condition
Diabetic retinopathy,1,Visual impairment,Disease/Disorder
"Diagnosis

Endemic",1,Ebola,Disease/Condition
"Diagnosis
Examination
Speech",1,Stuttering,Disease/Condition
"Diagnosis
FOD is often self",1,Female orgasmic disorder,Disease/Disorder
"Diagnosis
Screening of at",1,Asbestosis,Disease/Condition
"Diagnosis
The diagnosis of alcohol",1,disease,Disease/Disorder
Diagnostic coding changes in DSM,1,Asperger syndrome,Disease/Disorder
Dialysate,1,Kidney dialysis,Disease/Condition
Dialysis prescription,1,Kidney dialysis,Disease/Condition
Dialyzer,1,Kidney dialysis,Disease/Condition
Diaphragm breathing,1,Hatha yoga,Disease/Condition
Diastole,1,Aortic valve replacement,Disease/Condition
Diastolic blood pressure,1,DASH diet,Nutrition/Diet
Diathermy,1,Colposcopy,Surgical Procedure
Diazepam,1,Sedation,Disease/Condition
Diencephalon,1,dermatophytes or yeast under the microscope. The KOH,Disease/Condition
Diener,1,Forensic medicine,Disease/Condition
Differential,1,Whiplash,Disease/Condition
Differentiation,1,Family therapy,Alternative Therapy
Diffusion,1,Third-spacing,Disease/Condition
Digestive enzymes,1,Heartburn,Disease/Condition
Digestive tract,1,Antigas agents,Disease/Condition
Digitalis,1,causes edema in tissue spaces.,Disease/Condition
Dilute,1,Diabetes insipidus,Disease/Condition
Diphyllobothriasis,1,Tapeworm diseases,Disease/Disorder
Disfluency,1,Stuttering,Disease/Condition
Disinfected,1,Isolation,Disease/Condition
Disk,1,Sciatica,Disease/Disorder
Dispersant,1,Oil spills: health effects,Disease/Condition
Distal,1,Fingertip injuries,Disease/Condition
Distant site,1,Telehealth,Disease/Condition
Disulfiram,1,Alcoholism,Disease/Condition
Diuretic agent,1,Barbiturate-induced coma,Disease/Condition
Diverticula,1,Barium enema,Disease/Condition
Donor,1,Transplant surgery,Surgical Procedure
Dressing,1,Wound care,Disease/Condition
Drug,1,"Hepatitis, drug-induced",Drug/Medication
Drug interaction,1,Drug metabolism/interactions,Drug/Medication
"Drugs
Chelators",1,(Table by PreMediaGlobal. ª Cengage Learning .),Disease/Condition
"Drugs
Modalities used to treat non",1,Bladder cancer,Cancer/Oncological
"Drugs
Swollen glands can be treated with over",1,Swollen glands,Disease/Condition
Drugs often used to treat phobias include anti,1,Phobias,Disease/Condition
Drusen,1,Macular degeneration,Disease/Condition
Dual,1,Body mass index,Disease/Condition
Ductus arteriosus,1,Neonatal care,Disease/Condition
"Duodenal ulcer

J e j u n u m",1,Ulcer surgery,Surgical Procedure
Dura mater,1,Meningitis,Disease/Condition
Dwarfism,1,Kyphosis,Disease/Condition
Dyslexia,1,Learning disorders,Disease/Disorder
Dysmenorrhea,1,Chiropractic,Alternative Therapy
Dyspepsia,1,Pleural effusion,Disease/Condition
Dyspnea,1,Shortness of breath,Disease/Condition
Dysuria,1,Cystitis,Disease/Condition
E-hookah,1,E-cigarettes,Disease/Condition
E-liquid,1,E-cigarettes,Disease/Condition
EDTA,1,Platelet count,Disease/Condition
EMLA,1,eventually cause blood poisoning.,Disease/Condition
ESR,1,rate,Disease/Condition
ESRD,1,Kidney dialysis,Disease/Condition
Ear speculum,1,Ear exam with an otoscope,Disease/Condition
Eardrum,1,Hearing aids,Disease/Condition
Ebola and hemorrhagic,1,Ebola,Disease/Condition
Echocardiography,1,Heart valve replacement,Disease/Condition
Echolalia,1,Tourette syndrome,Disease/Disorder
Echopraxia,1,Tourette syndrome,Disease/Disorder
Ectoparasite,1,Flea-borne disease,Disease/Disorder
Ectopic parathyroid tissue,1,Parathyroidectomy,Surgical Procedure
Efferent nerves,1,Rabies,Disease/Condition
Effusion,1,Myringotomy and ear tubes,Surgical Procedure
Egg,1,Cell therapy,Alternative Therapy
Ehlers,1,Edwards’ syndrome,Disease/Disorder
Eighth cranial nerve disease,1,Aminoglycosides,Disease/Condition
Ejaculation,1,Vasectomy,Surgical Procedure
Electro,1,Bioelectric therapy,Drug/Medication
"Electrocardiography


KEY TERMS
Infarction",1,brain,Disease/Condition
Electrocoagulation,1,Tubal ligation,Disease/Condition
Electroconvulsive therapy,1,Amnesia,Disease/Condition
Electroencephalography,1,Barbiturate-induced coma,Disease/Condition
Electrophoresis,1,Protein electrophoresis,Disease/Condition
Elephantiasis,1,Lymphogranuloma venereum,Disease/Condition
Elimination diet,1,used without a doctor’s approval.,Disease/Condition
Embolus,1,Hypercoagulation disorders,Disease/Disorder
Emetic,1,Poisoning,Disease/Condition
Emmenagogue,1,Oligomenorrhea,Disease/Condition
Emollient,1,Therapeutic baths,Disease/Condition
Empiric therapy,1,SAPHO syndrome,Disease/Disorder
Employer,1,Affordable Care Act,Disease/Condition
Empyema,1,Empyema,Disease/Condition
Encephaloceles,1,Neurosurgery,Surgical Procedure
Encopresis,1,"G AL E E N CY C LO PE DI A O F M E D IC I NE , 5 T H E DI T IO N",Disease/Condition
Endemic area,1,Scrub typhus,Disease/Condition
Endocrine,1,"Pancreatic cancer, endocrine",Cancer/Oncological
Endocrine gland,1,Anxiety,Disease/Condition
Endometrial biopsy,1,Postmenopausal bleeding,Disease/Condition
Endometrial implants,1,Endometriosis,Disease/Condition
Endometrial polyps,1,I Dilatation and curettage,Disease/Condition
Endometrioma,1,Dysmenorrhea,Disease/Condition
Endomyocardial biopsy,1,Heart transplantation,Disease/Condition
Endothelial,1,Antiangiogenic therapy,Drug/Medication
Enema,1,Colostomy,Surgical Procedure
Engraftment,1,Stem cell transplantation,Disease/Disorder
Enkephalines,1,Methadone,Disease/Condition
Enriched,1,Vitamin E,Nutrition/Diet
Enteric,1,Stool culture,Disease/Condition
Enteric fever,1,Paratyphoid fever,Disease/Condition
Enterotoxigenic,1,Stool culture,Disease/Condition
Enteroviruses,1,Meningitis,Disease/Condition
Environmental epidemiology,1,Environmental health,Disease/Condition
Enzymes,1,Drug metabolism/interactions,Drug/Medication
Eosinophil,1,Whiplash,Disease/Condition
Epidermal,1,Antiangiogenic therapy,Drug/Medication
Epiglottis,1,lung disease.,Disease/Disorder
Epiglottitis,1,Croup,Disease/Condition
Epileptologist,1,Seizure disorder,Disease/Disorder
Epinephrine,1,Adrenal gland cancer,Cancer/Oncological
Epstein,1,Episiotomy,Surgical Procedure
Eradicate,1,Smallpox,Disease/Condition
Erectile dysfunction,1,Men’s nutrition,Disease/Disorder
Ergotamine,1,Lactation,Disease/Condition
Erythema,1,Ultraviolet light treatment,Drug/Medication
Erythema multiforme,1,Toxic epidermal necrolysis,Disease/Condition
Erythrogenic toxin,1,Statistics Reports. 2013. http://www.plasticsurgery.org/,Surgical Procedure
Erythromycin,1,Statistics Reports. 2013. http://www.plasticsurgery.org/,Surgical Procedure
Esophagitis,1,Heartburn,Disease/Condition
Esophagoscopy,1,Esophageal pouches,Disease/Condition
Esophagus,1,Esophageal function tests,Diagnostic Test
Essence,1,Flower remedies,Disease/Condition
Essential fatty acid,1,acids,Disease/Condition
Ethanol,1,Alcoholism,Disease/Condition
Euphoria,1,Marijuana,Disease/Condition
Euthyroid,1,Goiter,Disease/Condition
Evidence,1,Dental sealant,Disease/Condition
Evulsion,1,Dental trauma,Disease/Condition
"Examination

Amniocentesis",1,Alagille syndrome,Disease/Disorder
"Examination

Estrogen",1,aafp.org/afp/2005/0115/p285.html.,Disease/Condition
"Examination
The American Speech",1,Mutism,Disease/Condition
Exanthem,1,Kawasaki syndrome,Disease/Disorder
Exotoxin,1,Diphtheria,Disease/Condition
Expectorant,1,Cough,Disease/Condition
Exposure science,1,Environmental health,Disease/Condition
Extended family field,1,Family therapy,Alternative Therapy
Extensively drug,1,Antibiotic resistance,Disease/Condition
Extraction site,1,Tooth extraction,Disease/Condition
Extraocular muscles,1,Eye muscle surgery,Surgical Procedure
FDA to restrict the sale of e,1,E-cigarettes,Disease/Condition
FMR,1,Fragile X syndrome,Disease/Disorder
FOBT,1,Colon cancer,Cancer/Oncological
Facebook depression,1,Internet addiction disorder,Disease/Disorder
Factitious diseases,1,Malingering,Disease/Condition
Factitious disorder,1,Munchausen syndrome,Disease/Disorder
Factor,1,Prolactin test,Diagnostic Test
Fallopian tube,1,Ectopic pregnancy,Disease/Condition
False negative,1,Stress test,Diagnostic Test
False positive,1,Stress test,Diagnostic Test
Family,1,Family therapy,Alternative Therapy
Fascia,1,Volkmann’s contracture,Disease/Condition
Fasciculations,1,Amyotrophic lateral sclerosis,Disease/Condition
Fast,1,Intermittent fasting,Disease/Condition
Fatty liver,1,"Hepatitis, alcoholic",Disease/Condition
Febrile seizure,1,Fever,Disease/Condition
Fecal impaction,1,Bowel training,Disease/Condition
Federal Interagency Forum on Aging,1,Senior nutrition,Nutrition/Diet
Female athlete triad,1,Oligomenorrhea,Disease/Condition
Female sterilization,1,Tubal ligation,Disease/Condition
Ferritin,1,Iron tests,Diagnostic Test
Fertilization,1,Contraception,Disease/Condition
Fetal,1,Esophageal atresia,Disease/Condition
Fetal alcohol syndrome,1,DiGeorge syndrome,Disease/Disorder
Fiber,1,Photodynamic therapy,Drug/Medication
Fibrin,1,Empyema,Disease/Condition
Fibroblast,1,Antiangiogenic therapy,Drug/Medication
Fibroid tumors,1,Postmenopausal bleeding,Disease/Condition
Fibroids,1,Dysmenorrhea,Disease/Condition
Filariform,1,Threadworm infection,Disease/Disorder
Filoviruses,1,Ebola,Disease/Condition
Filtrate,1,Fanconi’s syndrome,Disease/Disorder
Fine,1,Endoscopic ultrasound,Diagnostic Test
Fine needle aspiration biopsy,1,Breast biopsy,Diagnostic Test
Finger stick,1,Phlebotomy,Surgical Procedure
First,1,Allergies,Disease/Condition
First space,1,Third-spacing,Disease/Condition
Five,1,resection,Disease/Condition
Flagellate,1,Janis O. Flores,Disease/Condition
Flashback,1,Stockholm syndrome,Disease/Disorder
Flatulence,1,Antigas agents,Disease/Condition
Flatus,1,Intestinal disorders,Diagnostic Test
Flaxseed,1,acids,Disease/Condition
Flex,1,Fingertip injuries,Disease/Condition
Fluorescein,1,Corneal ulcers,Disease/Condition
Fluorouracil,1,Basal cell carcinoma,Cancer/Oncological
Foley catheter,1,Urinary catheterization,Disease/Condition
Follicle stimulating hormone,1,Polycystic ovary syndrome,Disease/Disorder
Follicles,1,Acne,Disease/Condition
Fontanel,1,Battered child syndrome,Disease/Disorder
Fontanelle,1,Subdural hematoma,Disease/Condition
For a clear,1,Chancroid,Disease/Condition
Foramen magnum,1,Achondroplasia,Disease/Condition
Foramen ovale,1,Neonatal care,Disease/Condition
Forcible sodomy,1,Rape and sexual assault,Disease/Condition
Forensic,1,Rape and sexual assault,Disease/Condition
Foreskin,1,Circumcision,Disease/Disorder
Fortified,1,Vitamin E,Nutrition/Diet
Fovea,1,Macular degeneration,Disease/Condition
Fragile X syndrome,1,Autism,Disease/Condition
Free,1,Anxiety,Disease/Condition
Free flap facial surgery,1,Face transplantation,Disease/Condition
Friction,1,Bedsores,Disease/Condition
Frozen shoulder,1,oligohydramnios,Disease/Condition
Fructose,1,Low-carbohydrate diets,Nutrition/Diet
Fugue,1,Dissociative disorders,Disease/Disorder
Functional food,1,Purpose,Disease/Condition
Functional magnetic resonance imaging,1,Gambling disorder,Disease/Disorder
Fundoplication,1,Heartburn,Disease/Condition
Fungal,1,"Antibiotics, topical",Disease/Condition
G a s t r i n,1,Ulcer surgery,Surgical Procedure
G suits,1,Aviation medicine,Disease/Condition
Gag reflex,1,echocardiography,Disease/Condition
Galactorrhea,1,Prolactin test,Diagnostic Test
Galactose,1,Galactosemia,Disease/Condition
Gamete,1,Infertility therapies,Disease/Condition
Gamma camera,1,computed tomography,Disease/Condition
Gamma knife,1,Brain tumor,Cancer/Oncological
Gamma rays,1,computed tomography,Disease/Condition
Ganglioside,1,Tay-Sachs disease,Disease/Disorder
Gas embolism,1,Recompression treatment,Disease/Condition
Gas gangrene,1,Debridement,Disease/Condition
Gastric glands,1,Vagotomy,Surgical Procedure
Gastric ulcer,1,Vagotomy,Surgical Procedure
Gastrin,1,Gastrinoma,Disease/Condition
Gastrinoma,1,"Pancreatic cancer, endocrine",Cancer/Oncological
Gastroenterologist,1,Rectal examination,Disease/Disorder
Gastrointestinal tract,1,Antiulcer drugs,Drug/Medication
Gastrojejunostomy,1,Gastric bypass,Disease/Condition
Gastrostomy,1,Bacteremia,Disease/Condition
Gen,1,"New York: Marlowe & Company, 2005.",Disease/Condition
Gene therapy,1,"in China.’’ PLoS One 8, no. 8 (August 2013):e72606.",Disease/Disorder
General anesthesia,1,Penile prostheses,Disease/Condition
General surgery,1,Robot-assisted surgery,Surgical Procedure
Genetic,1,Genetic counseling,Disease/Disorder
Genetic disease,1,Memory loss,Disease/Condition
Genetic engineering,1,Organic food,Disease/Condition
Genetic heterogeneity,1,Malaria,Disease/Condition
Genetics,1,Translational medicine,Disease/Condition
Genioplasty,1,Obstructive sleep apnea,Disease/Condition
Genital,1,Penile prostheses,Disease/Condition
Genogram,1,Family therapy,Alternative Therapy
Genome,1,Translational medicine,Disease/Condition
Geophagia,1,Pica,Disease/Condition
Geriatrics,1,Gerontology,Disease/Condition
Germ,1,Corneal ulcers,Disease/Condition
Germ theory of disease,1,Microbiology,Disease/Condition
Germinoma,1,Neurosurgery,Surgical Procedure
Gerontology,1,Gerontology,Disease/Condition
Gestational trophoblastic disease,1,Transvaginal ultrasound,Diagnostic Test
Giant cell arteritis,1,oligohydramnios,Disease/Condition
Gland,1,Addison’s disease,Disease/Disorder
Glans,1,Circumcision,Disease/Disorder
Globulins,1,Protein electrophoresis,Disease/Condition
Glomeruli,1,Allergic purpura,Disease/Condition
Glomerulus,1,the kidney to produce more urine) to decrease swelling.,Disease/Condition
Glossopharyngeal neuralgia,1,Neuralgia,Disease/Condition
Glottis,1,Cough,Disease/Condition
Glucocorticoid,1,Adrenal gland scan,Diagnostic Test
Glycogen,1,Low-carbohydrate diets,Nutrition/Diet
Glycolysis,1,Pyruvate kinase deficiency,Disease/Disorder
Glycosylated hemoglobin,1,Glycosylated hemoglobin test,Diagnostic Test
Goeckerman regimen,1,Ultraviolet light treatment,Drug/Medication
Gonads,1,Puberty,Disease/Condition
Goniometer,1,Physical therapy,Alternative Therapy
Gonzalez regimen,1,Anti cancer diet,Cancer/Oncological
Good latch,1,Breastfeeding problems,Disease/Disorder
Granulation tissue,1,treat the transplant.,Disease/Condition
Granule,1,Urinary anti-infectives,Disease/Condition
Granules,1,Allergic rhinitis,Disease/Condition
Granulocytes,1,Blood donation and registry,Disease/Condition
Granulocytopenia,1,Candidiasis,Disease/Condition
Granuloma,1,treat the transplant.,Disease/Condition
Granulomatous,1,Wegener’s granulomatosis,Disease/Disorder
Granulomatous disease,1,taken.,Disease/Condition
"Greg Annussek

Urethral stricture",1,Balanitis,Disease/Condition
Growth factor,1,Neuroendocrine tumors,Cancer/Oncological
Growth plate,1,Rickets,Disease/Condition
Guided imagery,1,Fatigue,Disease/Condition
Gynecologic surgery,1,Robot-assisted surgery,Surgical Procedure
Gynecologist,1,Polycystic ovary syndrome,Disease/Disorder
H y p o g l y c e m i a,1,Ulcer surgery,Surgical Procedure
HDL Cholesterol,1,Atherosclerosis,Disease/Condition
HFI,1,Heavy metal poisoning,Disease/Condition
HIV,1,Hodgkin’s lymphoma,Cancer/Oncological
Hair cells,1,Cochlear implants,Disease/Condition
Hair follicles,1,"(accessed August 15, 2013).",Disease/Condition
Hairbulb,1,Albinism,Disease/Condition
Halitosis,1,Bacterial vaginosis,Disease/Condition
Hallucinations,1,Cocaine and related disorders,Disease/Disorder
Hallucinogen,1,"and the faster the treatment, the better the prognosis.",Drug/Medication
Harvesting,1,Transplant surgery,Surgical Procedure
Hatha yoga,1,Yoga,Disease/Condition
Health,1,Senior nutrition,Nutrition/Diet
Heart failure,1,Ventricular fibrillation,Disease/Condition
Heartburn,1,Esophageal function tests,Diagnostic Test
Heartworm disease,1,Mosquito-borne disease,Disease/Disorder
Heat stroke,1,Antiparkinson drugs,Drug/Medication
Heavy metals,1,Organic food,Disease/Condition
Heimlich maneuver,1,Foreign objects,Disease/Condition
Helminth,1,Threadworm infection,Disease/Disorder
Hemarthrosis,1,Arthroscopy,Surgical Procedure
Hematology,1,Anemias,Disease/Condition
Hematopoietic cells,1,Aplastic anemia,Disease/Disorder
Hematoporphyrin,1,Photodynamic therapy,Drug/Medication
Hematuria,1,Cystitis,Disease/Condition
Heme,1,Fecal occult blood test,Diagnostic Test
Hemocytometer,1,Platelet count,Disease/Condition
Hemodialysis,1,Leptospirosis,Disease/Condition
Hemodilution,1,Transplant surgery,Surgical Procedure
"Hemoglobinopathy
Hemoglobin is the oxygen",1,Fetal hemoglobin test,Diagnostic Test
Hemolytic bacteria,1,Statistics Reports. 2013. http://www.plasticsurgery.org/,Surgical Procedure
Hemoptysis,1,Aspergillosis,Disease/Condition
Hemosiderosis,1,Iron tests,Diagnostic Test
Hemostasis,1,Nephrectomy,Surgical Procedure
Hemostatic,1,Aortic aneurysm repair,Disease/Condition
Hendra,1,Nipah,Disease/Condition
Henipavirus,1,Nipah,Disease/Condition
Hepatocellular,1,KEY TERMS,Disease/Condition
Hepatocyte,1,KEY TERMS,Disease/Condition
Herb,1,Naturopathic medicine,Disease/Condition
Herd immunity,1,Whooping cough,Disease/Condition
Hereditary,1,Ptosis,Disease/Condition
Hermansky,1,Albinism,Disease/Condition
Herniate,1,Esophageal pouches,Disease/Condition
Herniated disk,1,Sacroiliac disease,Disease/Disorder
Herpes virus,1,Erysipelas,Disease/Condition
Herpesviruses,1,Dermabrasion,Disease/Condition
Heterozygote,1,Pyruvate kinase deficiency,Disease/Disorder
High spot,1,Bruxism,Disease/Condition
Hippel,1,Adrenal gland cancer,Cancer/Oncological
Hirschsprung disease,1,Ostomy,Surgical Procedure
Hirsutism,1,Polycystic ovary syndrome,Disease/Disorder
Histocompatibility testing,1,(HLA) test,Diagnostic Test
Homeopathy,1,Naturopathic medicine,Disease/Condition
Homeostasis,1,Family therapy,Alternative Therapy
Homozygote,1,Pyruvate kinase deficiency,Disease/Disorder
Homozygous,1,Pyruvate kinase deficiency,Disease/Disorder
Hormonal therapy,1,Endometriosis,Disease/Condition
Hormones,1,Steroids,Disease/Disorder
Humanize,1,Monoclonal antibodies,Disease/Condition
Hyaline membrane,1,Surfactant,Disease/Condition
Hydrocolloid,1,Wound care,Disease/Condition
Hydrocortisone,1,Adrenal gland scan,Diagnostic Test
Hydrogel,1,Wound care,Disease/Condition
Hydronephrosis,1,Nephrectomy,Surgical Procedure
Hydrophilic,1,Wound care,Disease/Condition
Hydrops fetalis,1,Turner syndrome,Disease/Disorder
Hydrosalpinx,1,Scar revision surgery,Surgical Procedure
Hymenolepiasis,1,Tapeworm diseases,Disease/Disorder
Hyperandrogenism,1,Polycystic ovary syndrome,Disease/Disorder
Hyperarousal,1,Anxiety,Disease/Condition
Hyperbaric chamber,1,Recompression treatment,Disease/Condition
Hyperbaric oxygen,1,Prevention,Disease/Disorder
Hyperinfection syndrome,1,Threadworm infection,Disease/Disorder
Hyperinsulinemia,1,Polycystic ovary syndrome,Disease/Disorder
Hypermobility,1,Vegetative state,Disease/Condition
Hyperostosis,1,SAPHO syndrome,Disease/Disorder
Hyperparathyroidism,1,Parathyroidectomy,Surgical Procedure
Hyperpigmentation,1,"Procedures. 2nd ed. New York: Thieme, 2009.",Disease/Condition
Hyperplasia,1,Enlarged prostate,Disease/Condition
Hyperplastic obesity,1,Obesity,Disease/Condition
Hypersecretory,1,Antiulcer drugs,Drug/Medication
Hyperthermia,1,Malaria,Disease/Condition
Hyperthyroid,1,Goiter,Disease/Condition
Hypertrophic obesity,1,Obesity,Disease/Condition
Hypervitaminosis,1,Vitamin toxicity,Nutrition/Diet
Hypnosis,1,Dissociative disorders,Disease/Disorder
Hypoalbuminemia,1,Third-spacing,Disease/Condition
Hypocalcemia,1,DiGeorge syndrome,Disease/Disorder
Hypochromic,1,Red blood cell indices,Disease/Condition
Hypodermoclysis,1,Intravenous rehydration,Disease/Condition
Hypoparathyroidism,1,Parathyroidectomy,Surgical Procedure
Hypopigmentation,1,"Procedures. 2nd ed. New York: Thieme, 2009.",Disease/Condition
Hypoplasia,1,DiGeorge syndrome,Disease/Disorder
Hypoplastic anemia,1,Anabolic steroid use,Disease/Condition
Hypospadias,1,Circumcision,Disease/Disorder
Hypothermia,1,Protein-energy malnutrition,Nutrition/Diet
Hypothyroid,1,Goiter,Disease/Condition
Hypovolemia,1,Third-spacing,Disease/Condition
Hypovolemic shock,1,damage a part of the lung so that it leaks fluid.,Disease/Condition
INFO,1,Food poisoning,Disease/Condition
"IRV

I",1,Spirometry,Disease/Condition
Iatrogenic,1,Endometriosis,Disease/Condition
Ichthyosis,1,Keratosis pilaris,Disease/Condition
Ictal EEG,1,Electrocution see Electric shock injuries,Disease/Condition
Ideal weight,1,Obesity,Disease/Condition
Identification with an aggressor,1,Stockholm syndrome,Disease/Disorder
Ileus,1,Hypokalemia,Disease/Condition
Illusion,1,Mental status examination,Disease/Condition
Immune complexes,1,Wegener’s granulomatosis,Disease/Disorder
Immunocompetence,1,Animal bite infections,Disease/Disorder
Immunoglobulins,1,Protein electrophoresis,Disease/Condition
Immunology,1,Microbiology,Disease/Condition
Immunosuppressed,1,Fifth disease,Disease/Disorder
Immunosuppression,1,Primary biliary cirrhosis,Disease/Condition
Immunosuppressive drugs,1,Face transplantation,Disease/Condition
Impacted tooth,1,Tooth extraction,Disease/Condition
Imperforate anus,1,Ostomy,Surgical Procedure
Implantation,1,Contraception,Disease/Condition
Impotence,1,Brachytherapy,Alternative Therapy
Impression,1,Malocclusion,Disease/Condition
Improved fine,1,Mediastinoscopy,Surgical Procedure
In addition to Aston,1,Aston-Patterning,Disease/Condition
In patients with gastrinomas as part of MEN,1,Gastrinoma,Disease/Condition
In vitro,1,"Herbalism, Western",Disease/Condition
In vivo,1,"Herbalism, Western",Disease/Condition
In wet,1,Macular degeneration,Disease/Condition
Incarceration,1,Umbilical hernia repair,Disease/Condition
Incest,1,Sexual abuse,Disease/Condition
Incidence,1,Emerging diseases,Disease/Disorder
Incision,1,"Antibiotics, topical",Disease/Condition
Incisors,1,Teething,Disease/Condition
Increased intracranial pressure,1,normal flora.,Disease/Condition
Inferior vena cava,1,Porphyrias,Disease/Condition
Infertility,1,Semen analysis,Disease/Condition
Infibulation,1,Female genital mutilation,Disease/Condition
Inflammatory bowel diseases,1,Sigmoidoscopy,Surgical Procedure
Influenza,1,Gastroenteritis,Disease/Condition
Infusion,1,Fecal transplant,Disease/Condition
Inguinal hernia,1,Hydrocelectomy,Surgical Procedure
Inner ear,1,Cochlear implants,Disease/Condition
Inspection,1,Physical examination,Disease/Condition
Insulinoma,1,"Pancreatic cancer, endocrine",Cancer/Oncological
Integumentary,1,Physiology,Disease/Condition
Inter,1,Death and dying,Disease/Condition
"Interactions
Serious and possibly life",1,"Antifungal drugs, systemic",Drug/Medication
Intermittent catheterization,1,Urinary catheterization,Disease/Condition
"International brand names

Estrogen",1,Steroids,Disease/Disorder
Interstitial cystitis,1,Vulvodynia,Disease/Condition
Interstitial lung disease,1,Chest x ray,Disease/Condition
Interstitial spaces,1,causes edema in tissue spaces.,Disease/Condition
Intestinal dysbiosis,1,Probiotics,Disease/Condition
Intestinal microflora,1,Probiotics,Disease/Condition
