term,frequency,associated_entries,entry_types
Pneumonia,5,Cephalosporins; Empyema; Immobilization; or chemical exposure; Pleural effusion,Disease/Condition
Pulmonary,5,"Chest x ray; Emphysema; Pulmonary edema; Pulmonary hypertension; monoxide (CO), a colorless, odorless gas, is produced",Disease/Condition
Rectum,5,Antihelminthic drugs; Colitis; Enemas; Proctitis; Rectal examination,Disease/Disorder; Drug/Medication; Disease/Condition
Retina,5,Antioxidants; Color blindness; Eye muscle surgery; Macular degeneration; normal flora.,Disease/Condition; Surgical Procedure
Septicemia,5,"Abscess; Acute lymphangitis; Melioidosis; Urinary catheterization; REVISED BY TISH DAVIDSON, AM",Disease/Condition
Shock,5,First aid; Pelvic fracture; Relapsing fever; Therapeutic hypothermia; Tularemia,Disease/Condition
A close,4,Melanoma; Primary biliary cirrhosis; Raynaud’s disease; Trichomoniasis,Disease/Disorder; Disease/Condition
Adenoids,4,Myringotomy and ear tubes; Salivary gland tumors; adenoidectomy; Velopharyngeal insufficiency,Cancer/Oncological; Disease/Condition; Surgical Procedure
Anaerobic,4,"www.usdoj.gov/dea/concern/steroids.html; Animal bite infections; Prevention; default.htm (accessed December 9, 2014).",Disease/Disorder; Disease/Condition
Aneurysm,4,Aneurysmectomy; Hemoptysis; Kawasaki syndrome; Lithotripsy,Disease/Disorder; Disease/Condition; Surgical Procedure
Angina,4,Erectile dysfunction treatment; Heart transplantation; Stress test; Thoracic outlet syndrome,Diagnostic Test; Disease/Disorder; Drug/Medication; Disease/Condition
Anorexia nervosa,4,Adolescent nutrition; Binge eating disorder; Oligomenorrhea; Starvation,Disease/Disorder; Nutrition/Diet; Disease/Condition
Antioxidant,4,Anti-inflammatory diets; Macular degeneration; Memory loss; Vitamin E,Disease/Disorder; Nutrition/Diet; Disease/Condition
Aorta,4,Aneurysmectomy; Aortic aneurysm repair; 2013).; arteries,Disease/Condition; Surgical Procedure
Apnea,4,resuscitation; Munchausen syndrome; Diseases/SleepApnea/SleepApnea_WhatIs.html.; Whooping cough,Disease/Disorder; Disease/Condition
Arrhythmia,4,Congestive heart failure; Erectile dysfunction treatment; defibrillator; Palpitations,Disease/Disorder; Drug/Medication; Disease/Condition
Asthma,4,Benzodiazepines; Leukotriene inhibitors are often called leukotriene:; or chemical exposure; Nasal polyps,Disease/Disorder; Disease/Condition
Autoimmune disorder,4,Discoid lupus erythematosus; (HLA) test; Immunoelectrophoresis; Peyronie’s disease,Diagnostic Test; Disease/Disorder; Disease/Condition
Beta,4,Antibiotic resistance; Antioxidants; Leukotriene inhibitors are often called leukotriene:; Tumor markers,Disease/Disorder; Cancer/Oncological; Disease/Condition
Biofeedback,4,Insomnia; procedure; Seizure disorder; Stress,Disease/Disorder; Disease/Condition
Bronchitis,4,Benzodiazepines; Cephalosporins; or chemical exposure; Sulfonamides,Disease/Condition
Central nervous system,4,Antiparkinson drugs; Benzodiazepines; Insecticide poisoning; Muscle relaxants,Drug/Medication; Disease/Condition
Cervix,4,Colposcopy; DES exposure; Dysmenorrhea; Hysterectomy,Disease/Condition; Surgical Procedure
Chromosome,4,Fragile X syndrome; telangiectasia; Neurofibromatosis; Turner syndrome,Disease/Disorder; Disease/Condition
DSM,4,Asperger syndrome; Asperger syndrome; Asperger syndrome; Dementia,Disease/Disorder; Disease/Condition
Dementia,4,Amnesia; Memory loss; Mental status examination; Ventricular shunt,Disease/Condition
Dissociation,4,Dissociative disorders; Internet addiction disorder; Mental status examination; Sexual addiction,Disease/Disorder; Disease/Condition
Diuretic,4,Bulimia nervosa; Caffeine; Dehydration; the kidney to produce more urine) to decrease swelling.,Disease/Condition
Dopamine,4,Addiction; Cocaine and related disorders; Erectile dysfunction treatment; Gambling disorder,Disease/Disorder; Drug/Medication; Disease/Condition
Ectopic pregnancy,4,Dysmenorrhea; Paracentesis; Transvaginal ultrasound; Tubal ligation,Diagnostic Test; Disease/Condition
Electrocardiogram,4,Space medicine; Technetium heart scan; Ventricular fibrillation; Ventricular septal defect,Diagnostic Test; Disease/Disorder; Disease/Condition
Electrolytes,4,Binge eating disorder; developing countries because of lack of access to hospitals and treatment.; Liver encephalopathy; cell envelopes and digests debris and microorganisms to remove them from the blood.,Disease/Disorder; Disease/Condition
Embryo,4,Echinococcosis; Ectopic pregnancy; Puberty; Stem cell transplantation,Disease/Disorder; Disease/Condition
Enamel,4,Bruxism; Dental sealant; Teeth whitening; Tooth decay,Disease/Condition
Endoscope,4,Endoscopic ultrasound; Karl Finley; General surgery; echocardiography,Diagnostic Test; Disease/Condition; Surgical Procedure
Endoscopy,4,Foreign objects; Gastric emptying scan; Hernia repair; Robot-assisted surgery,Diagnostic Test; Disease/Condition; Surgical Procedure
Epilepsy,4,Antianxiety drugs; Anticonvulsant drugs; Benzodiazepines; Electrocution see Electric shock injuries,Drug/Medication; Disease/Condition
Eruption,4,Dental trauma; Dental x rays; Impacted tooth; Teething,Disease/Condition
Estrogen,4,Anabolic steroid use; Endometriosis; Female orgasmic disorder; Premenstrual syndrome,Disease/Disorder; Disease/Condition
Fetus,4,Alpha-fetoprotein (AFP) test; enzyme inhibitors; Decongestants; Sulfonamides,Diagnostic Test; Disease/Condition
Gastroesophageal reflux,4,Colic; Cough; Heartburn; Upper GI exam,Disease/Condition
Gastrointestinal,4,Chest x ray; Polio; Stool culture; Janis O. Flores,Disease/Condition
Glaucoma,4,Anticonvulsant drugs; Benzodiazepines; Statistics Reports. 2013. http://www.plasticsurgery.; Marijuana,Drug/Medication; Disease/Condition; Surgical Procedure
Hallucination,4,vomiting; Antiparkinson drugs; Decongestants; Mental status examination,Drug/Medication; Disease/Condition
Hemochromatosis,4,Iron tests; Phlebotomy; Pseudogout; Restrictive cardiomyopathy,Diagnostic Test; Disease/Condition; Surgical Procedure
Hemorrhage,4,Aortic dissection; Smallpox; Varicose veins; Yellow fever,Disease/Condition
Hernia,4,Circumcision; Gastric bypass; Physical examination; Umbilical hernia repair,Disease/Disorder; Disease/Condition
Hiatal hernia,4,Antispasmodic drugs; Bowel training; Esophageal function tests; Upper GI exam,Diagnostic Test; Drug/Medication; Disease/Condition
High,4,Asperger syndrome; (HDL); (HDL); Ostomy,Disease/Disorder; Disease/Condition; Surgical Procedure
Histamine,4,Allergic rhinitis; Allergy tests; vomiting; Scombroid,Diagnostic Test; Disease/Condition
Hydrocephalus,4,Achondroplasia; Memory loss; Meningitis; Neurosurgery,Disease/Condition; Surgical Procedure
Hypertension,4,DASH diet; Men’s nutrition; Obesity; Pulmonary hypertension,Disease/Disorder; Nutrition/Diet; Disease/Condition
Immunocompromised,4,Aspergillosis; Fifth disease; Legionnaires’ disease; Toxoplasmosis,Disease/Disorder; Disease/Condition
Immunoglobulin,4,Dermatomyositis; Lactation; Legionnaires’ disease; X-linked agammaglobulinemia,Disease/Disorder; Disease/Condition
Ischemia,4,Buerger’s disease; Colostomy; Pulmonary edema; Therapeutic hypothermia,Disease/Disorder; Disease/Condition; Surgical Procedure
Laparotomy,4,Appendicitis; Ectopic pregnancy; Peritonitis; Tubal ligation,Disease/Condition
Larynx,4,Cough; Croup; Leishmaniasis; Tracheotomy,Disease/Condition; Surgical Procedure
