node_id,node_type,label,definition,body_systems,severity,age_groups,icd_category,is_contagious,inheritance
D01445,Disease,Whooping cough,"Whooping cough, also known as pertussis, is a highly contagious bacterial disease that causes spasms (paroxysms) of uncontrollable coughing, followed by a sharp, high-pitched intake of air that creates the characteristic whoop of the disease’s name.",respiratory; infectious,Severe,All ages,Various,Yes,
D01446,Disease,Wilderness medicine,"Wilderness medicine encompasses the prevention,",cardiovascular; neurological; immunological,Unknown,All ages,Various,No,
D01447,Disease,syndrome),Wilms’ tumor is a cancerous tumor of the kidney that usually occurs in young children. This tumor type is named for the German surgeon Max Wilms (1867– 1918) and is also known as a nephroblastoma.,cardiovascular; renal; hematological; oncological,Unknown,Infants; Children; Adults/Elderly,Various,No,
D01448,Disease,"patients with Wilson disease. (Photo Researchers, Inc.)","Wilson disease, or WD, is a rare inherited disorder that causes excess copper to accumulate in the body. It is also known as hepatolenticular degeneration. Steadily increasing amounts of copper circulating in the blood are deposited primarily in the brain, liver, kidneys, and the cornea of the eyes.",neurological; gastrointestinal; renal; hematological,Critical,All ages,Various,No,Autosomal Recessive
D01449,Disease,Wiskott-Aldrich syndrome,"Wiskott-Aldrich syndrome (WAS) is a rare inherited disorder immunodeficiency disorder marked by a low level of blood platelets (thrombocytopenia), eczema, recurrent infections, and a high risk of leukemia or lymph node tumors.",dermatological; infectious; hematological; oncological,Critical,All ages,Various,No,
D01450,Disease,Withdrawal syndromes,"Withdrawal syndrome occurs in drug and alcohol addicted individuals who discontinue or reduce the use of their drug of choice. This process of eliminating G AL E E N CY C LO PE DI A O F M E D IC I NE , 5 T H E DI T IO N",cardiovascular; respiratory; neurological; musculoskeletal,Moderate,All ages,Various,Yes,
D01451,Disease,Women’s health,Women’s health is concerned with how disease and health issues affect women and with diseases and conditions that affect women at higher rates throughout the life cycle. It promotes the inclusion of gender perspectives in a broad spectrum of health issues. Statistics on women’s health Characteristic,cardiovascular; neurological; gastrointestinal; musculoskeletal,Unknown,All ages,Various,No,
D01452,Disease,Women’s nutrition,"Women’s nutrition addresses the dietary requirements of females after they reach adulthood. Nutritional needs change over time due to factors such as menstruation, pregnancy, lactation, menopause, and aging. Purpose American College of Obstetricians and Gynecologists (ACOG), 409 12th St. SW, PO Box ",cardiovascular; musculoskeletal; endocrine; hematological,Unknown,Adults/Elderly,Various,No,
D01453,Disease,Wound care,"Immediate wound care includes: Wound care involves cleaning a wound, flushing or irrigating it with pressurized water or an antiseptic solution, and applying or changing a dressing.   applying direct pressure to control any bleeding examining the wound for dirt and foreign objects after any bleedi",infectious,Unknown,All ages,Various,No,
D01454,Disease,Wound culture,"A wound culture is a laboratory test in which microorganisms from a wound are grown in a special growth medium. It is done to find and identify the microorganism causing an infection in a wound or an abscess. If a microorganism is found, more testing is done to determine how to treat the infection. ",gastrointestinal; infectious; hematological,Unknown,All ages,Various,No,
D01455,Disease,Wounds,"A wound occurs when the integrity of any tissue is compromised (e.g. skin breaks, muscle tears, burns, or bone fractures). A wound may be caused by an act, such as a gunshot, fall, or surgical procedure; by an infectious disease; or by an underlying condition. The physician may choose to start the p",musculoskeletal; endocrine; dermatological; infectious,Unknown,All ages,Various,No,
D01456,Disease,Xanthoma,Xanthoma is a skin condition in which some kinds of lipids (fats) accumulate under the skin and form yellowish-brown lumps or nodules. Xanthomas usually indicate some problem with lipid metabolism resulting in too much fat in the blood.,cardiovascular; musculoskeletal; dermatological; hematological,Critical,All ages,Various,No,Genetic/Hereditary
D01457,Disease,X-linked agammaglobulinemia,"X-linked agammaglobulinemia (XLA), or Bruton’s agammaglobulinemia, is present at birth (congenital) and is characterized by low or completely absent levels of immunoglobulins in the bloodstream. Immunoglobulins are protein molecules in blood serum that function like antibodies. Without them, the bod",musculoskeletal; immunological; dermatological; infectious,Critical,Infants,Various,No,X-linked
D01458,Disease,Yaws,Yaws is a chronic illness that first affects the skin and then affects the bones.,musculoskeletal; dermatological,Moderate,Children,Various,No,
D01459,Disease,Yellow fever,"Yellow fever, also known as sylvatic fever and viral hemorrhagic fever or VHF, is a severe infectious disease caused by a type of virus called a flavivirus. This flavivirus can cause outbreaks of epidemic proportions throughout Africa and tropical America.",immunological; infectious,Critical,Adolescents,Various,No,
D01460,Disease,"REVISED BY TISH DAVIDSON, AM","Yersinosis refers to infection by a genus of bacteria known as Yersinia. The two sub-types that are responsible for yersinosis are Yersinia enterocolitica and Yersinia pseudotuberculosis. The diseases produced by these organisms are called ‘‘zoonoses,’’ because the bacteria is passed to humans from ",gastrointestinal; infectious; hematological,Unknown,All ages,Various,Yes,
D01461,Disease,Yoga,"The term yoga comes from a Sanskrit word which means yoke or union. Traditionally, yoga is a method for joining the individual self with the Divine, Universal Spirit, or Cosmic Consciousness. Physical and mental exercises are designed to help achieve this goal, also called self-transcendence or enli",cardiovascular; respiratory; gastrointestinal; endocrine,Unknown,All ages,Various,No,
D01462,Disease,Zellweger syndrome,"Zellweger syndrome (ZS) is the most severe of three very rare, inherited, related metabolic disorders known collectively as the Zellweger spectrum. ZS affects all of the major organs of the body, especially the brain, liver, and kidneys. It is almost always fatal within the first year of life.",neurological; gastrointestinal; musculoskeletal; endocrine,Critical,Infants,Various,No,Genetic/Hereditary
D01463,Disease,Zika fever,"Zika fever is a usually mild illness caused by the zika virus (ZIKV) that is transmitted through mosquito bites. In recent years, zika fever has spread from Africa and Asia to islands in the Pacific Ocean. Having spread beyond Africa and Asia, ZIKV is considered to be an emerging pathogen.",immunological; infectious; hematological,Mild,All ages,Various,Yes,Genetic/Hereditary
D01464,Disease,Zoonosis,"Zoonosis, also called zoonotic disease, refers to diseases that can be passed from animals, whether wild or domesticated, to humans.",infectious; hematological; ophthalmological,Unknown,All ages,Various,Yes,
S01465,Symptom,Pain,Clinical manifestation: pain,,,,R-codes,,
S01466,Symptom,Fever,Clinical manifestation: fever,,,,R-codes,,
S01467,Symptom,Fatigue,Clinical manifestation: fatigue,,,,R-codes,,
S01468,Symptom,Nausea,Clinical manifestation: nausea,,,,R-codes,,
S01469,Symptom,Vomiting,Clinical manifestation: vomiting,,,,R-codes,,
S01470,Symptom,Diarrhea,Clinical manifestation: diarrhea,,,,R-codes,,
S01471,Symptom,Headache,Clinical manifestation: headache,,,,R-codes,,
S01472,Symptom,Dizziness,Clinical manifestation: dizziness,,,,R-codes,,
S01473,Symptom,Cough,Clinical manifestation: cough,,,,R-codes,,
S01474,Symptom,Rash,Clinical manifestation: rash,,,,R-codes,,
S01475,Symptom,Swelling,Clinical manifestation: swelling,,,,R-codes,,
S01476,Symptom,Weakness,Clinical manifestation: weakness,,,,R-codes,,
S01477,Symptom,Numbness,Clinical manifestation: numbness,,,,R-codes,,
S01478,Symptom,Bleeding,Clinical manifestation: bleeding,,,,R-codes,,
S01479,Symptom,Inflammation,Clinical manifestation: inflammation,,,,R-codes,,
S01480,Symptom,Itching,Clinical manifestation: itching,,,,R-codes,,
S01481,Symptom,Burning,Clinical manifestation: burning,,,,R-codes,,
S01482,Symptom,Cramps,Clinical manifestation: cramps,,,,R-codes,,
S01483,Symptom,Breathlessness,Clinical manifestation: breathlessness,,,,R-codes,,
S01484,Symptom,Palpitations,Clinical manifestation: palpitations,,,,R-codes,,
S01485,Symptom,Seizures,Clinical manifestation: seizures,,,,R-codes,,
S01486,Symptom,Tremors,Clinical manifestation: tremors,,,,R-codes,,
